Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,CellName_encoded,Hour,DayOfWeek,Anomaly,Anomaly_Probability
1900-01-01 15:45:00,6CLTE,3.881,0.498,0.076,0.041,3.936,1.768,1.025,0.01,3.0,2.0,5.0,18,15,0,1,0.9704194
1900-01-01 23:45:00,7CLTE,0.199,0.697,0.487,0.018,29.461,0.67,1.045,0.01,3.0,2.0,5.0,24,23,0,1,0.9602728
1900-01-01 11:45:00,3ALTE,14.627,1.891,0.44,0.065,14.611,0.696,1.254,1.124,5.0,4.0,9.0,7,11,0,1,0.66204596
1900-01-01 09:30:00,7ALTE,0.1,0.498,0.079,0.018,5.917,0.491,1.045,0.01,4.0,2.0,6.0,22,9,0,1,0.993863
1900-01-01 10:30:00,7ALTE,0.1,1.493,0.85,0.03,18.334,0.47,1.015,0.01,2.0,2.0,4.0,22,10,0,1,0.9739458
1900-01-01 18:45:00,7WLTE,0.995,2.488,0.528,0.043,14.156,0.671,1.065,0.01,4.0,3.0,7.0,27,18,0,1,0.9078765
1900-01-01 00:00:00,10BLTE,3.781,0.796,0.21,0.035,6.502,0.611,1.065,1.015,3.0,2.0,5.0,1,0,0,1,0.9788876
1900-01-01 10:15:00,5CLTE,5.373,0.796,0.299,0.03,10.687,0.61,1.065,1.005,4.0,2.0,6.0,15,10,0,1,0.9883344
1900-01-01 20:30:00,7BLTE,0.1,0.697,0.11,0.019,10.827,0.904,1.104,0.01,4.0,2.0,6.0,23,20,0,1,0.9899547
1900-01-01 12:00:00,9ALTE,8.06,2.786,0.812,0.052,34.784,1.207,1.134,1.065,4.0,4.0,8.0,31,12,0,1,0.84480315
1900-01-01 22:15:00,5BLTE,11.144,1.393,0.318,0.032,14.57,0.415,1.104,1.045,4.0,3.0,7.0,14,22,0,1,0.93832976
1900-01-01 22:15:00,7WLTE,0.597,2.587,0.553,0.033,34.769,0.567,1.184,0.01,4.0,3.0,7.0,27,22,0,1,0.7253051
1900-01-01 22:15:00,10ALTE,12.836,1.393,0.443,0.062,20.028,0.759,1.184,1.035,5.0,4.0,9.0,0,22,0,1,0.93132156
1900-01-01 21:00:00,6BLTE,17.91,3.184,1.185,0.056,29.266,0.61,1.214,0.01,5.0,4.0,9.0,17,21,0,1,0.7980611
1900-01-01 17:45:00,6WLTE,1.393,1.99,0.209,0.073,5.278,3.683,1.184,0.01,4.0,3.0,7.0,21,17,0,1,0.8373533
1900-01-01 10:00:00,6CLTE,4.776,1.194,0.529,0.04,18.996,0.598,1.055,0.01,3.0,2.0,5.0,18,10,0,1,0.92300516
1900-01-01 14:15:00,1BLTE,7.363,0.896,0.136,0.027,4.274,0.341,1.104,1.015,4.0,4.0,8.0,4,14,0,1,0.99318284
1900-01-01 10:45:00,5ALTE,4.378,1.095,0.35,0.031,18.574,0.604,1.045,1.005,3.0,2.0,5.0,13,10,0,1,0.9855619
1900-01-01 03:15:00,8ALTE,7.264,0.796,0.161,0.022,19.836,0.525,1.075,1.015,3.0,3.0,6.0,28,3,0,1,0.99428815
1900-01-01 04:45:00,1BLTE,4.179,0.697,0.194,0.042,14.77,1.14,1.055,1.005,4.0,3.0,7.0,4,4,0,1,0.9896241
1900-01-01 11:45:00,6ULTE,1.294,3.383,0.523,0.055,25.993,0.949,1.134,0.01,4.0,3.0,7.0,19,11,0,1,0.83989924
1900-01-01 12:00:00,8CLTE,4.378,0.995,0.271,0.025,8.647,0.28,1.055,1.015,3.0,2.0,5.0,30,12,0,1,0.98772997
1900-01-01 01:00:00,4CLTE,19.301,6.366,1.836,0.126,31.951,1.671,1.374,1.192,6.0,5.0,11.0,12,1,0,1,0.57183343
1900-01-01 23:15:00,7ALTE,0.1,0.697,0.236,0.027,9.257,0.319,1.015,0.01,2.0,1.0,3.0,22,23,0,1,0.95652133
1900-01-01 02:15:00,2ALTE,0.1,0.398,0.007,0.007,0.03,0.02,0.995,0.01,1.0,1.0,2.0,6,2,0,1,0.99760145
1900-01-01 08:45:00,10BLTE,0.597,0.398,0.086,0.014,3.284,0.278,0.995,0.995,2.0,1.0,3.0,1,8,0,1,0.9981748
1900-01-01 02:45:00,5BLTE,5.871,0.498,0.024,0.008,2.585,0.252,1.015,1.005,3.0,2.0,5.0,14,2,0,1,0.99416685
1900-01-01 07:30:00,3BLTE,4.08,0.597,0.092,0.022,11.38,0.348,1.045,1.005,3.0,2.0,5.0,8,7,0,1,0.99365604
1900-01-01 20:00:00,9ALTE,2.388,0.796,0.211,0.032,13.423,0.561,1.035,1.005,3.0,2.0,5.0,31,20,0,1,0.98921597
1900-01-01 12:30:00,6CLTE,6.07,0.896,0.173,0.037,14.139,0.599,1.075,0.01,4.0,2.0,6.0,18,12,0,1,0.9690525
1900-01-01 17:45:00,7BLTE,0.199,0.597,0.11,0.021,4.703,0.498,1.134,0.01,4.0,2.0,6.0,23,17,0,1,0.99289566
1900-01-01 15:30:00,7VLTE,0.498,1.592,0.389,0.026,12.185,0.295,1.055,0.01,3.0,2.0,5.0,26,15,0,1,0.9473836
1900-01-01 16:30:00,7ALTE,0.199,0.896,0.231,0.035,9.595,1.274,1.075,0.01,3.0,2.0,5.0,22,16,0,1,0.9942081
1900-01-01 04:45:00,4BLTE,8.159,0.896,0.179,0.013,23.966,0.215,1.065,1.005,4.0,3.0,7.0,11,4,0,1,0.989185
1900-01-01 21:45:00,3ALTE,6.269,1.393,0.4,0.04,28.466,0.762,1.055,0.995,3.0,2.0,5.0,7,21,0,1,0.9739493
1900-01-01 05:30:00,8ALTE,2.786,0.597,0.121,0.018,4.576,0.867,1.015,0.995,2.0,2.0,4.0,28,5,0,1,0.9957308
1900-01-01 21:30:00,5ALTE,3.085,0.796,0.225,0.024,16.274,0.61,1.025,0.995,3.0,2.0,5.0,13,21,0,1,0.9870156
1900-01-01 09:15:00,7WLTE,0.299,0.995,0.129,0.016,4.119,0.223,1.045,0.01,3.0,2.0,5.0,27,9,0,1,0.9699612
1900-01-01 07:45:00,1BLTE,3.085,0.995,0.489,0.033,23.007,2.675,1.035,0.995,3.0,2.0,5.0,4,7,0,1,0.9878127
1900-01-01 16:15:00,9ALTE,1.493,1.095,1.267,0.028,31.835,0.402,1.025,0.995,3.0,2.0,5.0,31,16,0,1,0.9932668
1900-01-01 19:30:00,7ALTE,0.796,1.791,0.53,0.058,7.985,0.596,1.184,0.01,6.0,3.0,9.0,22,19,0,1,0.8426111
1900-01-01 04:45:00,7BLTE,0.1,0.498,0.048,0.011,7.813,0.291,1.005,0.01,3.0,2.0,5.0,23,4,0,1,0.9934248
1900-01-01 13:45:00,10CLTE,5.572,0.896,0.131,0.024,3.908,0.356,1.055,1.015,4.0,3.0,7.0,2,13,0,1,0.990853
1900-01-01 11:45:00,6WLTE,0.995,2.886,1.13,0.039,54.473,0.92,1.095,0.01,4.0,3.0,7.0,21,11,0,1,0.8688056
1900-01-01 12:45:00,10CLTE,7.164,1.592,0.525,0.034,32.202,0.723,1.075,1.015,4.0,3.0,7.0,2,12,0,1,0.9931485
1900-01-01 00:15:00,6BLTE,18.308,8.358,3.693,0.539,54.738,45.465,1.224,0.01,5.0,4.0,9.0,17,0,0,1,0.58797014
1900-01-01 07:00:00,8BLTE,2.786,0.697,0.205,0.024,9.524,0.204,1.025,1.005,3.0,2.0,5.0,29,7,0,1,0.99489504
1900-01-01 01:45:00,3CLTE,0.697,0.995,1.409,0.035,28.614,0.651,1.005,1.005,2.0,2.0,4.0,9,1,0,1,0.9927908
1900-01-01 09:30:00,9ALTE,0.896,0.398,0.075,0.012,7.48,0.339,0.995,0.995,2.0,2.0,4.0,31,9,0,1,0.99540025
1900-01-01 02:15:00,5BLTE,5.075,0.498,0.015,0.008,1.93,0.172,1.015,1.005,2.0,2.0,4.0,14,2,0,1,0.9948198
1900-01-01 07:00:00,1ALTE,2.09,0.597,0.141,0.017,7.634,0.367,1.015,0.995,2.0,2.0,4.0,3,7,0,1,0.99605334
1900-01-01 21:45:00,6VLTE,3.184,8.756,1.214,0.067,20.442,0.563,1.264,0.01,6.0,3.0,9.0,20,21,0,1,0.5150205
1900-01-01 07:15:00,5CLTE,3.284,0.498,0.085,0.01,13.504,0.225,1.015,0.995,3.0,2.0,5.0,15,7,0,1,0.9952619
1900-01-01 21:45:00,10BLTE,2.985,0.697,0.079,0.014,3.147,0.191,1.015,0.995,3.0,2.0,5.0,1,21,0,1,0.99058014
1900-01-01 16:15:00,5CLTE,10.448,1.095,0.216,0.048,13.424,0.855,1.144,1.045,4.0,4.0,8.0,15,16,0,1,0.963227
1900-01-01 19:30:00,7ULTE,2.189,1.692,0.17,0.179,5.174,13.721,1.095,0.01,4.0,3.0,7.0,25,19,0,1,0.9401769
1900-01-01 23:30:00,7WLTE,0.896,1.592,0.233,0.033,10.827,0.787,1.104,0.01,4.0,3.0,7.0,27,23,0,1,0.8576149
1900-01-01 13:45:00,1BLTE,9.851,1.194,0.319,0.052,17.791,0.947,1.214,1.035,5.0,4.0,9.0,4,13,0,1,0.98418844
1900-01-01 04:00:00,4BLTE,11.94,0.498,0.038,0.013,3.141,0.295,1.164,1.005,4.0,2.0,6.0,11,4,0,1,0.9858385
1900-01-01 21:45:00,7BLTE,0.299,0.995,0.188,0.038,10.766,0.618,1.254,0.01,5.0,2.0,7.0,23,21,0,1,0.9616678
