Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,CellName_encoded,Hour,DayOfWeek,Anomaly,Anomaly_Probability
1900-01-01 03:00:00,6ALTE,3.781,1.493,0.575,0.042,22.659,0.743,0.985,0.01,3.0,2.0,5.0,16,3,0,0,0.4080968
1900-01-01 20:30:00,6ULTE,2.021,3.335,0.569,0.075,29.265,1.049,1.314,0.01,6.0,3.0,9.0,19,20,0,0,0.12619974
1900-01-01 11:30:00,2ALTE,0.505,0.404,0.014,0.01,0.227,0.097,1.011,0.01,2.0,1.0,3.0,6,11,0,0,0.0052611693
1900-01-01 06:45:00,3CLTE,1.011,0.505,0.238,0.021,20.962,0.609,1.011,1.011,2.0,1.0,3.0,9,6,0,0,0.001430318
1900-01-01 09:15:00,1BLTE,9.297,1.718,0.754,0.074,15.944,2.416,1.192,1.041,4.0,3.0,7.0,4,9,0,0,0.025906896
1900-01-01 21:30:00,3CLTE,6.568,2.324,0.699,0.058,32.333,1.186,1.112,1.021,4.0,3.0,7.0,9,21,0,0,0.03503802
1900-01-01 02:00:00,2ALTE,0.0,0.404,0.003,0.003,0.003,0.003,1.011,0.01,1.0,1.0,2.0,6,2,0,0,0.0016881572
1900-01-01 09:45:00,7ULTE,2.223,3.335,0.564,0.065,33.423,1.398,1.344,0.01,6.0,4.0,10.0,25,9,0,0,0.0143134175
1900-01-01 13:15:00,6BLTE,21.119,11.722,5.14,0.645,55.139,40.857,1.374,0.01,6.0,4.0,10.0,17,13,0,0,0.112528875
1900-01-01 16:00:00,10CLTE,4.244,0.707,0.207,0.02,11.64,0.281,1.041,1.021,3.0,2.0,5.0,2,16,0,0,0.010682802
1900-01-01 13:45:00,10CLTE,5.154,0.606,0.103,0.061,6.342,3.28,1.061,1.091,3.0,3.0,6.0,2,13,0,0,0.01970439
1900-01-01 12:15:00,7CLTE,1.011,1.314,0.363,0.042,7.16,0.995,1.202,0.01,5.0,3.0,8.0,24,12,0,0,0.10771437
1900-01-01 15:45:00,6CLTE,12.328,1.718,0.544,0.063,29.326,1.196,1.142,0.01,5.0,3.0,8.0,18,15,0,0,0.080790125
1900-01-01 08:45:00,2ALTE,0.303,0.404,0.096,0.008,0.924,0.052,1.011,0.01,1.0,1.0,2.0,6,8,0,0,0.004279856
1900-01-01 18:15:00,3CLTE,7.68,1.011,0.232,0.027,12.506,0.398,1.081,1.021,3.0,2.0,5.0,9,18,0,0,0.0020042984
1900-01-01 06:15:00,9BLTE,0.606,0.404,0.024,0.013,0.539,0.193,1.011,1.011,1.0,1.0,2.0,32,6,0,0,0.00075096235
1900-01-01 12:45:00,10CLTE,3.133,0.707,0.106,0.022,2.488,0.296,1.122,1.152,4.0,3.0,7.0,2,12,0,0,0.011284907
1900-01-01 01:00:00,10ALTE,3.335,0.505,0.017,0.012,0.289,0.132,1.041,1.021,3.0,2.0,5.0,0,1,0,0,0.0015021189
1900-01-01 17:45:00,10CLTE,7.074,1.011,0.229,0.026,8.786,0.345,1.081,1.031,4.0,3.0,7.0,2,17,0,0,0.002685803
1900-01-01 21:30:00,1BLTE,21.726,5.356,1.653,0.123,14.749,1.468,1.536,1.172,8.0,6.0,14.0,4,21,0,0,0.19126552
1900-01-01 19:45:00,10BLTE,3.436,0.606,0.091,0.015,5.363,0.214,1.031,1.021,3.0,2.0,5.0,1,19,0,0,0.013904531
1900-01-01 23:45:00,3ALTE,10.206,1.112,0.206,0.029,19.968,0.49,1.091,1.041,3.0,3.0,6.0,7,23,0,0,0.00998202
1900-01-01 01:00:00,10ALTE,8.69,1.213,0.34,0.044,14.356,0.909,1.101,1.051,4.0,3.0,7.0,0,1,0,0,0.012025296
1900-01-01 01:15:00,6VLTE,1.718,4.042,0.811,0.068,19.734,0.931,1.293,0.01,5.0,4.0,9.0,20,1,0,0,0.21657777
1900-01-01 07:30:00,8ALTE,11.722,1.92,0.725,0.055,30.485,0.886,1.162,1.081,4.0,3.0,7.0,28,7,0,0,0.05727008
1900-01-01 14:30:00,6CLTE,7.781,0.707,0.104,0.022,12.554,0.865,1.081,0.01,3.0,3.0,6.0,18,14,0,0,0.025421653
1900-01-01 18:15:00,7CLTE,0.404,0.909,0.182,0.039,5.089,2.366,1.202,0.01,5.0,3.0,8.0,24,18,0,0,0.03252376
1900-01-01 10:00:00,6WLTE,1.819,3.234,0.341,0.053,15.521,1.187,1.152,0.01,6.0,3.0,9.0,21,10,0,0,0.14295864
1900-01-01 12:00:00,6CLTE,8.286,0.909,0.226,0.033,12.493,0.992,1.091,0.01,4.0,3.0,7.0,18,12,0,0,0.052782543
1900-01-01 03:45:00,3CLTE,1.819,0.909,0.715,0.037,10.843,0.259,1.021,1.011,2.0,2.0,4.0,9,3,0,0,0.006687166
1900-01-01 04:45:00,10ALTE,1.617,0.505,0.065,0.013,2.354,0.408,1.021,1.011,2.0,2.0,4.0,0,4,0,0,0.0017423831
1900-01-01 16:00:00,2ALTE,0.707,0.404,0.015,0.007,0.232,0.057,1.021,0.01,2.0,1.0,3.0,6,16,0,0,0.0054458985
1900-01-01 09:30:00,7WLTE,1.213,3.234,0.847,0.047,30.401,0.64,1.182,0.01,5.0,3.0,8.0,27,9,0,0,0.08056068
1900-01-01 14:15:00,6CLTE,7.983,0.808,0.104,0.026,5.016,0.328,1.101,0.01,4.0,2.0,6.0,18,14,0,0,0.025067741
1900-01-01 20:15:00,7ALTE,0.404,1.516,0.275,0.035,23.781,0.756,1.263,0.01,5.0,2.0,7.0,22,20,0,0,0.03545877
1900-01-01 13:45:00,6VLTE,1.516,2.526,0.212,0.04,6.316,0.865,1.384,0.01,7.0,3.0,10.0,20,13,0,0,0.03742197
1900-01-01 11:45:00,6ULTE,2.687,5.771,1.501,0.115,26.242,0.921,1.483,0.01,7.0,5.0,12.0,19,11,0,0,0.021539694
1900-01-01 18:45:00,6CLTE,11.116,0.909,0.225,0.038,11.232,0.486,1.142,0.01,4.0,3.0,7.0,18,18,0,0,0.024746783
1900-01-01 19:00:00,6VLTE,3.537,5.356,0.594,0.068,18.436,0.688,1.354,0.01,7.0,4.0,11.0,20,19,0,0,0.17532842
1900-01-01 00:00:00,7CLTE,0.101,0.404,0.089,0.021,2.08,0.331,1.051,0.01,2.0,2.0,4.0,24,0,0,0,0.0020895218
1900-01-01 05:45:00,4CLTE,3.335,0.505,0.088,0.012,4.794,0.313,1.051,1.021,3.0,3.0,6.0,12,5,0,0,0.0019289155
1900-01-01 17:45:00,5BLTE,18.391,2.829,0.644,0.082,14.127,0.836,1.354,1.101,7.0,4.0,11.0,14,17,0,0,0.08974009
1900-01-01 09:15:00,8BLTE,19.705,2.223,0.465,0.076,10.243,0.842,1.304,1.253,6.0,5.0,11.0,29,9,0,0,0.017895501
1900-01-01 00:45:00,3ALTE,7.074,1.011,0.275,0.024,15.421,0.44,1.081,1.021,3.0,3.0,6.0,7,0,0,0,0.0033700988
1900-01-01 09:30:00,10ALTE,25.465,3.436,1.484,0.159,64.953,2.627,1.526,1.202,8.0,6.0,14.0,0,9,0,0,0.0056383493
1900-01-01 09:30:00,9BLTE,3.436,0.606,0.1,0.019,6.503,0.714,1.051,1.031,3.0,2.0,5.0,32,9,0,0,0.0022101642
1900-01-01 14:15:00,10CLTE,4.143,0.505,0.063,0.016,7.771,0.37,1.051,1.031,3.0,3.0,6.0,2,14,0,0,0.0026088667
1900-01-01 17:30:00,8ALTE,21.018,11.217,3.638,0.089,28.216,0.793,1.384,1.142,6.0,5.0,11.0,28,17,0,0,0.2433477
1900-01-01 14:15:00,6ALTE,15.259,3.537,1.264,0.091,24.841,1.398,1.314,0.01,6.0,4.0,10.0,16,14,0,0,0.14835547
1900-01-01 10:45:00,10BLTE,8.286,1.819,0.511,0.038,29.456,0.521,1.142,1.061,4.0,3.0,7.0,1,10,0,0,0.01821629
1900-01-01 15:15:00,8BLTE,22.029,3.739,1.138,0.126,32.477,1.272,1.465,1.213,7.0,6.0,13.0,29,15,0,0,0.027169554
1900-01-01 13:30:00,10ALTE,16.673,1.415,0.386,0.07,16.659,0.8,1.273,1.142,6.0,4.0,10.0,0,13,0,0,0.07810939
1900-01-01 00:00:00,6VLTE,2.09,3.483,0.987,0.063,45.728,0.819,1.353,0.01,5.0,3.0,8.0,20,0,0,0,0.12943533
1900-01-01 20:15:00,6ALTE,8.185,1.314,0.409,0.038,7.734,0.429,1.142,0.01,4.0,2.0,6.0,16,20,0,0,0.06270633
1900-01-01 12:45:00,6VLTE,2.324,3.335,0.512,0.075,13.299,3.939,1.273,0.01,6.0,3.0,9.0,20,12,0,0,0.14805704
1900-01-01 11:15:00,7BLTE,0.606,1.415,0.34,0.053,16.037,0.673,1.374,0.01,6.0,3.0,9.0,23,11,0,0,0.016898492
1900-01-01 15:30:00,1CLTE,28.092,5.861,2.271,0.146,33.537,0.893,1.627,1.273,8.0,6.0,14.0,5,15,0,0,0.33854738
1900-01-01 06:45:00,10CLTE,3.537,0.404,0.016,0.009,0.682,0.124,1.031,1.011,2.0,2.0,4.0,2,6,0,0,0.0021736089
1900-01-01 06:30:00,7VLTE,0.505,1.314,0.197,0.029,4.015,0.299,1.031,0.01,2.0,2.0,4.0,26,6,0,0,0.08731145
1900-01-01 00:30:00,7ALTE,0.202,2.122,0.412,0.039,5.967,0.512,1.101,0.01,3.0,2.0,5.0,22,0,0,0,0.03075578
1900-01-01 21:15:00,5CLTE,16.471,1.92,0.396,0.055,17.638,0.868,1.243,1.081,5.0,4.0,9.0,15,21,0,0,0.057950005
1900-01-01 06:00:00,7WLTE,0.303,1.415,0.528,0.016,3.851,0.282,1.031,0.01,2.0,2.0,4.0,27,6,0,0,0.12714063
1900-01-01 04:30:00,6WLTE,0.505,4.143,0.85,0.022,7.85,0.284,1.061,0.01,3.0,2.0,5.0,21,4,0,0,0.10248545
1900-01-01 07:00:00,6CLTE,4.547,0.606,0.095,0.012,16.124,0.353,1.041,0.01,3.0,2.0,5.0,18,7,0,0,0.048381012
1900-01-01 03:30:00,1BLTE,3.032,1.415,1.006,0.031,39.32,0.48,1.041,1.011,3.0,2.0,5.0,4,3,0,0,0.03547783
1900-01-01 00:30:00,7VLTE,0.505,1.718,0.348,0.035,13.141,0.843,1.061,0.01,4.0,2.0,6.0,26,0,0,0,0.064294085
1900-01-01 19:15:00,7VLTE,1.112,2.122,0.205,0.041,4.634,0.942,1.213,0.01,6.0,3.0,9.0,26,19,0,0,0.052147686
